txn_id,amount,date
EX568776,9319.99,2026-08-21
EX611206,5425.23,2026-08-25
EX170792,9100.44,2026-08-31
EX878533,9563.58,2026-08-24
EX642700,5188.06,2026-08-31
EX605043,2470.58,2026-08-25
EX416152,269.14,2026-08-24
EX697344,14112.91,2026-08-28
EX322938,8474.51,2026-08-22
EX315142,11391.77,2026-08-21
EX625292,3279.83,2026-09-02
EX926302,10002.85,2026-08-25
EX489779,2342.72,2026-08-27
EX912963,11673.26,2026-09-03
EX481929,6941.24,2026-08-22
EX237801,4915.45,2026-08-21
EX851756,2853.21,2026-08-20
EX560382,1557.18,2026-08-23
EX353546,409.5,2026-08-23
EX309440,13122.31,2026-09-03
EX991776,9917.41,2026-09-03
EX591193,13746.49,2026-08-25
EX206431,1427.18,2026-08-20
EX267006,3721.98,2026-08-24
EX917909,7011.51,2026-09-01
EX381997,2199.72,2026-08-23
EX202263,885.67,2026-09-03
EX605634,9582.45,2026-09-01
EX250704,313.5,2026-08-23
EX919332,3299.22,2026-08-28
EX767347,4678.16,2026-08-24
EX265276,13025.98,2026-08-31
EX394139,5308.56,2026-08-21
EX261216,10017.5,2026-08-26
EX504833,3487.96,2026-08-25
EX582672,5642.58,2026-09-03
EX162609,4512.28,2026-08-30
EX508723,13018.33,2026-08-20
EX120191,8654.27,2026-08-28
EX304259,5008.31,2026-08-26
EX123754,8496.33,2026-09-03
EX318974,9250.62,2026-08-29
EX684884,11761.16,2026-09-01
EX247445,6693.33,2026-08-23
EX453924,1866.9,2026-09-02
EX473424,11269.1,2026-09-02
EX313935,2678.61,2026-08-23
EX589130,5033.07,2026-08-20
EX483501,1074.14,2026-08-28
EX491704,5425.44,2026-08-31
EX886432,13937.66,2026-08-30
EX599684,13545.86,2026-08-21
EX924117,9745.94,2026-08-26
EX765738,5001.41,2026-09-03
EX706151,11803.69,2026-08-26
EX643872,6272.08,2026-08-28
EX772725,7215.68,2026-09-02
EX180359,2911.43,2026-08-26
EX750475,1136.35,2026-08-28
EX720829,1269.7,2026-08-30
EX333546,6311.98,2026-08-25
EX800873,4287.56,2026-08-20
EX830040,2611.14,2026-08-25
EX729620,751.97,2026-08-21
EX322054,5377.65,2026-08-20
EX976017,12275.29,2026-09-02
EX522631,11268.84,2026-08-28
EX112007,1846.05,2026-08-23
EX822945,7300.73,2026-09-02
EX119712,13787.48,2026-08-29
FA501103,12512.02,2026-08-26
FA265506,8417.35,2026-08-21
FA593454,7082.98,2026-08-28
FA550391,14198.08,2026-08-24
FA575888,1946.92,2026-08-22
FA541913,12168.52,2026-08-25
FA657592,3050.38,2026-08-26
FA151887,1395.75,2026-08-21
FA431335,8786.64,2026-09-02
FA881507,12991.93,2026-08-24
FA615009,2945.63,2026-09-01
FA726210,3002.8,2026-08-29
FA721484,7526.33,2026-08-24
FA652255,685.69,2026-08-22
FA197651,14992.83,2026-09-01
FA784066,5944.98,2026-08-25
FA544223,2077.89,2026-08-28
FA792737,2620.85,2026-08-30
FA138167,8862.63,2026-08-26
FA576538,11112.19,2026-09-04
FA361915,9641,2026-08-27
FA403626,16069.55,2026-08-28
FA260473,4447.45,2026-08-29
FA546030,3760.59,2026-08-31
FA631608,1027.02,2026-08-30
DS763773,396.43,2026-08-25
DS421116,7309.6,2026-08-29
DS783582,975.5,2026-08-22
DS360566,229.11,2026-09-02
DS168132,4357.28,2026-08-26
DS628725,5680.8,2026-08-31
DS939057,5032.86,2026-08-23
DS631336,5744.7,2026-08-24
DS578252,3278.76,2026-08-26
DS524374,649.77,2026-08-27
DS164402,5825.84,2026-08-22
DS483126,2275.77,2026-08-29
DS437252,7750.51,2026-08-23
DS119996,1196.59,2026-09-02
DS945673,6896.83,2026-09-01
LF851239,8366.97,2026-08-24
LF216473,21883.09,2026-08-22
LF766734,20571.9,2026-08-24
LF414223,3277.76,2026-08-23
LF253302,11856.16,2026-08-22
LF400643,23530.96,2026-08-28
LF646869,22413.7,2026-08-23
LF272866,23208.77,2026-08-26
LF666963,15503.92,2026-08-30
LF364394,7758.75,2026-08-23
MS462995,2413.81,2026-08-25
MS813330,1883.22,2026-08-24
MS973194,6217.09,2026-08-28
MS675846,8749.51,2026-09-02
MS401047,2802.23,2026-09-01
MS523378,1603,2026-09-02
OR551012,3588.83,2026-08-20
OR611995,4590.43,2026-08-24
OR655002,4161,2026-08-25
DP312933,1933.5,2026-08-21
DP864219,3653.5,2026-08-28
DP177323,3829.82,2026-08-25
DP964983,1493.33,2026-08-25
DP519817,4341.3,2026-08-24
HV693141,62018.27,2026-08-27
HV622027,83860.81,2026-08-24
HV895260,65733.22,2026-08-29
HV178384,92876.51,2026-08-21
HV601040,87418.42,2026-08-27
HV586053,66877.34,2026-08-29
HV521193,80214.62,2026-08-27
HV581601,83773.81,2026-08-27
HV911060,92165.17,2026-08-21
HV332600,64290.72,2026-08-24
MT406670,39.41,2026-09-03
MT611212,38.06,2026-08-22
MT426430,45.57,2026-08-30
MT566737,36.08,2026-08-28
MT557955,29.7,2026-08-24
MT514178,42.3,2026-08-30
MT292699,2.98,2026-08-24
MT528303,37.67,2026-08-25
WE315487,1540.51,2026-08-22
WE413539,2659.68,2026-08-22
WE200478,192.87,2026-08-30
WE487104,4944.53,2026-08-23
WE378992,1768.78,2026-08-23
WE521679,4362.48,2026-08-23
WE216389,1817.3,2026-09-06
