Order #,Total,Date,Financial Status
INV165406,22052.97,2026-08-21,paid
INV491074,102.15,2026-08-29,paid
PAY257511,20472.73,2026-08-18,paid
TXN941888,15885.35,2026-08-20,paid
PAY579861,20373.74,2026-08-28,paid
ORD491362,9856.91,2026-08-27,paid
PAY928048,32182.12,2026-08-18,paid
INV211881,18410.57,2026-08-23,paid
TXN809325,48722.59,2026-08-18,paid
TXN452547,15697.01,2026-08-21,paid
INV812761,17635.56,2026-08-23,paid
INV764479,41918.1,2026-08-16,paid
PAY807251,48928.95,2026-08-25,paid
PAY337490,42434.38,2026-08-17,paid
ORD422243,42766.96,2026-08-25,paid
INV830132,39014.14,2026-08-28,paid
ORD990420,2380.7,2026-08-18,paid
ORD860603,35792.23,2026-08-21,paid
PAY333765,5297.1,2026-08-25,paid
TXN730405,11110.68,2026-08-26,paid
TXN151931,7371.75,2026-08-29,paid
TXN129805,4557.33,2026-08-19,paid
INV939438,4555.3,2026-08-24,paid
TXN246885,38485.74,2026-08-18,paid
ORD771791,34191.38,2026-08-28,paid
INV208999,29347.95,2026-08-22,paid
ORD601963,13979.52,2026-08-17,paid
ORD533237,42753.22,2026-08-29,paid
INV487494,13529.81,2026-08-24,paid
ORD790562,18031.14,2026-08-26,paid
PAY245013,13741.95,2026-08-18,paid
TXN994321,47525.91,2026-08-25,paid
INV469184,40059.47,2026-08-22,paid
PAY857814,12147.45,2026-08-17,paid
PAY470767,6258.35,2026-08-16,paid
PAY775760,7839.89,2026-08-21,paid
PAY353091,12740.5,2026-08-24,paid
INV181273,26099.03,2026-08-29,paid
PAY194339,11800.13,2026-08-22,paid
INV763767,11230.57,2026-08-22,paid
INV787688,35321.73,2026-08-15,paid
TXN896468,9121.81,2026-08-15,paid
INV139977,25345.34,2026-08-15,paid
ORD445016,24491.35,2026-08-16,paid
ORD129110,22058.66,2026-08-21,paid
INV701931,33148.81,2026-08-21,paid
PAY101903,26137.77,2026-08-16,paid
ORD625087,32881.01,2026-08-16,paid
INV113427,25234.34,2026-08-19,paid
ORD701172,32970.72,2026-08-22,paid
