txn_id,amount,date
INV165406,22052.97,2026-08-21
INV491074,102.15,2026-08-29
PAY257511,20472.73,2026-08-18
TXN941888,15885.35,2026-08-20
PAY579861,20373.74,2026-08-28
ORD491362,9856.91,2026-08-27
PAY928048,32182.12,2026-08-18
INV211881,18410.57,2026-08-23
TXN809325,48722.59,2026-08-18
TXN452547,15697.01,2026-08-21
INV812761,17635.56,2026-08-23
INV764479,41918.1,2026-08-16
PAY807251,48928.95,2026-08-25
PAY337490,42434.38,2026-08-17
ORD422243,42766.96,2026-08-25
INV830132,39014.14,2026-08-28
ORD990420,2380.7,2026-08-18
ORD860603,35792.23,2026-08-21
PAY333765,5297.1,2026-08-25
TXN730405,11110.68,2026-08-26
TXN151931,7371.75,2026-08-29
TXN129805,4557.33,2026-08-19
INV939438,4555.3,2026-08-24
TXN246885,38485.74,2026-08-18
ORD771791,34191.38,2026-08-28
INV208999,29347.95,2026-08-22
ORD601963,13979.52,2026-08-17
ORD533237,42753.22,2026-08-29
INV487494,13529.81,2026-08-24
ORD790562,18031.14,2026-08-26
PAY245013,13741.95,2026-08-18
TXN994321,47525.91,2026-08-25
INV469184,40059.47,2026-08-22
PAY857814,12147.45,2026-08-17
PAY470767,6258.35,2026-08-16
PAY775760,7839.89,2026-08-21
PAY353091,12740.5,2026-08-24
INV181273,26099.03,2026-08-29
PAY194339,11800.13,2026-08-22
INV763767,11230.57,2026-08-22
INV787688,35321.73,2026-08-15
TXN896468,9121.81,2026-08-15
INV139977,25345.34,2026-08-15
ORD445016,24491.35,2026-08-16
ORD129110,22058.66,2026-08-21
INV701931,33148.81,2026-08-21
PAY101903,26137.77,2026-08-16
ORD625087,32881.01,2026-08-16
INV113427,25234.34,2026-08-19
ORD701172,32970.72,2026-08-22
TXN936978,20884.12,2026-08-28
TXN573336,10325.85,2026-08-16
PAY168674,30849.22,2026-08-28
TXN124955,20034.96,2026-08-27
PAY214002,39031.48,2026-08-24
ORD393242,41023.31,2026-08-19
ORD842000,15156.89,2026-08-24
TXN804100,40649.68,2026-08-29
TXN609857,43766.21,2026-08-24
TXN397899,24039,2026-08-22
INV767910,29458.18,2026-08-25
ORD941244,23837.86,2026-08-23
TXN619988,21086.1,2026-08-27
INV754692,18387.93,2026-08-26
ORD244021,36077.49,2026-08-17
INV123221,49238.65,2026-08-15
PAY137357,29072.19,2026-08-18
PAY854014,9979.04,2026-08-23
INV480118,1471.06,2026-08-25
TXN504699,40057.35,2026-08-23
ORD925388,40948.97,2026-08-29
INV811309,21228.49,2026-08-15
PAY260925,44098.31,2026-08-20
PAY328461,26664.79,2026-08-18
PAY999892,6857.17,2026-08-15
INV302170,26468.73,2026-08-24
INV963582,40722.77,2026-08-19
ORD742373,39728.09,2026-08-24
ORD878921,4146.35,2026-08-17
TXN165561,11531.75,2026-08-28
PAY888483,27006.05,2026-08-23
PAY953676,22076.62,2026-08-19
TXN647472,46571.52,2026-08-20
TXN586816,3392.56,2026-08-15
PAY488004,39474.35,2026-08-28
ORD185209,2970.2,2026-08-27
ORD701282,48951.63,2026-08-17
PAY359552,10446.51,2026-08-29
PAY341410,4294.24,2026-08-22
ORD506619,23121.77,2026-08-28
INV106503,8302.1,2026-08-18
PAY716909,46009.93,2026-08-16
PAY161176,31232.4,2026-08-25
PAY295843,617.28,2026-08-27
PAY561564,6676.89,2026-08-25
ORD884795,957.97,2026-08-25
