txn_id,amount,date
TXN100295,41168.91,2026-08-21
TXN572128,6736.17,2026-08-20
TXN761881,6875.81,2026-08-26
TXN336974,19888.49,2026-08-15
TXN438601,30082.59,2026-08-19
TXN276657,13053.59,2026-08-19
TXN978286,16046.59,2026-08-23
TXN561086,10608.77,2026-08-18
TXN577404,49461.61,2026-08-16
TXN331391,33260.99,2026-08-21
TXN196378,39335.8,2026-08-15
TXN833938,18227.82,2026-08-17
TXN910490,15291.3,2026-08-16
TXN506825,47843.3,2026-08-24
TXN320849,29670.8,2026-08-21
TXN322667,24719.47,2026-08-19
TXN269446,15018.05,2026-08-19
TXN390991,20720.07,2026-08-20
TXN193111,16434.58,2026-08-19
TXN826636,5877.14,2026-08-24
TXN580969,20763.02,2026-08-14
TXN860008,17884.16,2026-08-22
TXN763317,9992,2026-08-27
TXN170499,45688.12,2026-08-28
TXN585108,39825.02,2026-08-17
TXN217907,25740.96,2026-08-16
TXN876272,43628.98,2026-08-26
TXN518136,49241.15,2026-08-19
TXN524775,31606.26,2026-08-24
TXN505004,44675.44,2026-08-15
TXN310127,34160.7,2026-08-28
TXN111085,48795.8,2026-08-15
TXN120723,18772.15,2026-08-14
TXN994158,27372.53,2026-08-16
TXN923895,25511.11,2026-08-16
TXN807253,39754.38,2026-08-17
TXN613737,11218.58,2026-08-19
TXN792316,37398.7,2026-08-20
TXN661213,47892.93,2026-08-22
TXN409801,22867.74,2026-08-23
