txn_id,amount,date
TXN100295,46891.32,2026-08-21
TXN572128,23275.49,2026-08-15
TXN761881,37789.64,2026-08-16
TXN336974,28808.12,2026-08-23
TXN438601,17539.14,2026-08-19
TXN276657,11493.89,2026-08-26
TXN978286,24340.37,2026-08-23
TXN561086,25699.31,2026-08-14
TXN577404,31697.56,2026-08-24
TXN331391,8027.35,2026-08-26
TXN196378,11058.69,2026-08-14
TXN833938,23247.96,2026-08-25
TXN910490,48205,2026-08-22
TXN506825,2604.78,2026-08-23
TXN320849,19374.32,2026-08-21
TXN322667,18670.07,2026-08-19
TXN269446,42368.53,2026-08-26
TXN390991,45772.32,2026-08-22
TXN193111,3090.99,2026-08-24
TXN826636,13407.69,2026-08-23
TXN580969,1647.06,2026-08-21
TXN860008,31998.57,2026-08-27
TXN763317,17163.61,2026-08-27
TXN170499,48163.52,2026-08-20
TXN585108,24285.11,2026-08-27
TXN217907,1737.09,2026-08-14
TXN876272,24298.84,2026-08-22
TXN518136,20570.21,2026-08-22
TXN524775,33405.51,2026-08-22
TXN505004,31239.45,2026-08-15
TXN310127,38845.95,2026-08-26
TXN111085,48566.96,2026-08-20
TXN120723,4866.09,2026-08-20
TXN994158,49098.68,2026-08-28
TXN923895,20525.4,2026-08-18
TXN807253,49539.95,2026-08-25
TXN613737,19005.6,2026-08-18
TXN792316,4019.31,2026-08-27
TXN661213,31604.04,2026-08-27
TXN409801,37293.96,2026-08-26
