txn_id,amount,date
TXN0001,1500.00,2026-08-11
TXN0002,2323.70,2026-08-12
TXN0003,3147.40,2026-08-13
TXN0004,3971.10,2026-08-14
TXN0005,4794.80,2026-08-17
TXN0006,5618.50,2026-08-18
TXN0007,6442.20,2026-08-19
TXN0008,7265.90,2026-08-20
TXN0009,8089.60,2026-08-21
TXN0010,8913.30,2026-08-24
TXN0011,9737.00,2026-08-25
TXN0012,10560.70,2026-08-26
TXN0013,11384.40,2026-08-27
TXN0014,12208.10,2026-08-28
TXN0015,13031.80,2026-08-11
TXN0016,13855.50,2026-08-12
TXN0017,14679.20,2026-08-13
TXN0018,15502.90,2026-08-14
TXN0019,16326.60,2026-08-17
TXN0020,17150.30,2026-08-18
TXN0021,17974.00,2026-08-19
TXN0022,18797.70,2026-08-20
TXN0023,19621.40,2026-08-21
TXN0024,20445.10,2026-08-24
TXN0025,21268.80,2026-08-25
TXN0026,22092.50,2026-08-26
TXN0027,22916.20,2026-08-27
TXN0028,23739.90,2026-08-28
TXN0029,24563.60,2026-08-11
TXN0030,25387.30,2026-08-12
TXN0031,26211.00,2026-08-13
TXN0032,27034.70,2026-08-14
TXN0033,27858.40,2026-08-17
TXN0034,28682.10,2026-08-18
TXN0035,29505.80,2026-08-19
TXN0036,30329.50,2026-08-20
TXN0037,31153.20,2026-08-21
TXN0038,31976.90,2026-08-24
TXN0039,32800.60,2026-08-25
TXN0040,33624.30,2026-08-26
