txn_id,amount,date
INV0001,1960.00,2026-08-12
INV0002,3169.87,2026-08-13
INV0003,4379.74,2026-08-14
INV0004,5589.61,2026-08-17
INV0005,6799.48,2026-08-18
INV0006,8009.34,2026-08-19
INV0007,9219.21,2026-08-20
INV0008,10429.08,2026-08-21
INV0009,11638.95,2026-08-24
INV0010,12848.82,2026-08-25
INV0011,14058.69,2026-08-26
INV0012,15268.56,2026-08-27
INV0013,16478.43,2026-08-28
INV0014,17688.29,2026-08-31
INV0015,18898.16,2026-08-12
INV0016,20108.03,2026-08-13
INV0017,21317.90,2026-08-14
INV0018,22527.77,2026-08-17
INV0019,23737.64,2026-08-18
INV0020,24947.51,2026-08-19
INV0021,26157.38,2026-08-20
INV0022,27367.24,2026-08-21
INV0023,28577.11,2026-08-24
INV0024,29786.98,2026-08-25
INV0025,30996.85,2026-08-26
INV0026,32206.72,2026-08-27
INV0027,33416.59,2026-08-28
INV0028,34626.46,2026-08-31
INV0029,35836.33,2026-08-12
INV0030,37046.20,2026-08-13
INV0031,38256.06,2026-08-14
INV0032,39465.93,2026-08-17
INV0033,40675.80,2026-08-18
INV0034,41885.67,2026-08-19
INV0035,43095.54,2026-08-20
