txn_id,amount,date
INV0001,2000.00,2026-08-11
INV0002,3234.56,2026-08-12
INV0003,4469.12,2026-08-13
INV0004,5703.68,2026-08-14
INV0005,6938.24,2026-08-17
INV0006,8172.80,2026-08-18
INV0007,9407.36,2026-08-19
INV0008,10641.92,2026-08-20
INV0009,11876.48,2026-08-21
INV0010,13111.04,2026-08-24
INV0011,14345.60,2026-08-25
INV0012,15580.16,2026-08-26
INV0013,16814.72,2026-08-27
INV0014,18049.28,2026-08-28
INV0015,19283.84,2026-08-11
INV0016,20518.40,2026-08-12
INV0017,21752.96,2026-08-13
INV0018,22987.52,2026-08-14
INV0019,24222.08,2026-08-17
INV0020,25456.64,2026-08-18
INV0021,26691.20,2026-08-19
INV0022,27925.76,2026-08-20
INV0023,29160.32,2026-08-21
INV0024,30394.88,2026-08-24
INV0025,31629.44,2026-08-25
INV0026,32864.00,2026-08-26
INV0027,34098.56,2026-08-27
INV0028,35333.12,2026-08-28
INV0029,36567.68,2026-08-11
INV0030,37802.24,2026-08-12
INV0031,39036.80,2026-08-13
INV0032,40271.36,2026-08-14
INV0033,41505.92,2026-08-17
INV0034,42740.48,2026-08-18
INV0035,43975.04,2026-08-19
