txn_id,amount,date
INV100866,18954.09,2026-08-26
INV261233,2405.24,2026-08-27
INV945509,46864.5,2026-08-19
INV472569,42757.42,2026-08-27
INV577333,33307,2026-08-16
INV938781,47048,2026-08-24
INV807839,41039.35,2026-08-22
INV550324,34090.84,2026-08-18
INV598112,38169.85,2026-08-17
INV970503,40770.3,2026-08-16
INV253679,24279.09,2026-08-26
INV899392,20880.3,2026-08-26
INV287863,22745.91,2026-08-18
INV327132,3287.64,2026-08-21
INV618202,12432.06,2026-08-19
INV237811,38077.05,2026-08-25
INV596236,8427.23,2026-08-22
INV952189,4021.24,2026-08-22
INV244112,12849.47,2026-08-15
INV299435,20277.5,2026-08-16
INV415697,6778.41,2026-08-25
INV525739,8436.33,2026-08-23
INV499714,36890.38,2026-08-26
INV499319,21287.09,2026-08-28
INV170674,34160.1,2026-08-25
INV831015,21975.1,2026-08-22
INV380513,11670.95,2026-08-27
INV488829,15071.92,2026-08-24
INV251128,34040.47,2026-08-16
INV321798,7066.94,2026-08-24
INV972515,3258.73,2026-08-24
INV775322,25537.53,2026-08-15
INV353546,5130.12,2026-08-15
INV854321,27914.9,2026-08-18
INV584264,46748.23,2026-08-27
