txn_id,amount,date
PAY103211,7665.75,2026-08-30
PAY983108,21609.31,2026-08-27
PAY600424,678.25,2026-08-18
PAY230014,42361.4,2026-08-26
PAY947674,18197.2,2026-08-22
PAY860850,46400.53,2026-08-26
PAY507110,16897.7,2026-08-31
PAY606079,31058,2026-08-25
PAY783244,3590.78,2026-08-23
PAY297964,24211.55,2026-08-24
PAY889252,13041.73,2026-08-28
PAY868479,19022.9,2026-08-23
PAY928178,31664.13,2026-08-16
PAY788394,8856.57,2026-08-23
PAY440655,35187.3,2026-08-31
PAY588959,39471.16,2026-08-23
PAY139707,41995.68,2026-08-17
PAY559335,11057.03,2026-08-28
PAY853783,8747.26,2026-08-17
PAY532054,46813.06,2026-08-23
PAY436243,4054.03,2026-08-22
PAY251521,39499.63,2026-08-18
PAY616014,9852.01,2026-08-22
PAY351137,34296.37,2026-08-29
PAY866891,3114.01,2026-08-19
PAY351570,38495.77,2026-08-29
PAY942391,36578.15,2026-08-16
PAY268342,21287.26,2026-08-30
PAY726136,18830.84,2026-08-28
PAY768619,16212.93,2026-08-26
PAY195668,33892.39,2026-08-29
PAY606075,4089.34,2026-08-22
PAY710708,15693.25,2026-08-18
PAY679436,11461.72,2026-08-18
PAY688005,9226.43,2026-08-18
PAY707326,48518.13,2026-08-17
PAY534868,1227.19,2026-08-19
PAY930863,24004.16,2026-08-31
PAY921743,11003.67,2026-08-26
PAY634990,45927.54,2026-08-22
PAY684758,34047.85,2026-08-17
PAY138637,20266.69,2026-08-19
PAY579828,40002.42,2026-08-17
PAY577234,17268.66,2026-08-20
PAY183223,34846.74,2026-08-21
