txn_id,amount,date
PAY103211,47924.99,2026-08-20
PAY983108,1212.73,2026-08-28
PAY600424,49260.29,2026-08-26
PAY230014,42501.64,2026-08-14
PAY947674,23909.52,2026-08-19
PAY860850,7890.34,2026-08-18
PAY507110,19640.79,2026-08-28
PAY606079,34393.28,2026-08-28
PAY783244,25985.4,2026-08-16
PAY297964,41701.93,2026-08-21
PAY889252,22905.91,2026-08-22
PAY868479,2660.31,2026-08-21
PAY928178,3260.45,2026-08-18
PAY788394,20340.79,2026-08-23
PAY440655,33405.4,2026-08-22
PAY588959,24359.72,2026-08-17
PAY139707,17145.1,2026-08-22
PAY559335,20669.53,2026-08-18
PAY853783,44595.89,2026-08-15
PAY532054,13981.32,2026-08-19
PAY436243,4695.49,2026-08-21
PAY251521,19178.36,2026-08-28
PAY616014,15518.13,2026-08-16
PAY351137,4487.13,2026-08-25
PAY866891,38215.16,2026-08-23
PAY351570,26238.85,2026-08-17
PAY942391,22405.35,2026-08-23
PAY268342,33322.65,2026-08-20
PAY726136,8429.87,2026-08-21
PAY768619,18098.43,2026-08-18
PAY195668,39857.38,2026-08-17
PAY606075,27899.39,2026-08-14
PAY710708,33043.68,2026-08-24
PAY679436,46308.19,2026-08-21
PAY688005,13810.9,2026-08-21
PAY707326,17658.89,2026-08-14
PAY534868,21842.05,2026-08-19
PAY930863,21044.21,2026-08-21
PAY921743,17371,2026-08-18
PAY634990,42279.85,2026-08-25
PAY684758,39445.92,2026-08-21
PAY138637,18454.31,2026-08-15
PAY579828,27786.5,2026-08-24
PAY577234,45654.6,2026-08-22
PAY183223,6585.75,2026-08-18
