txn_id,amount,date
ORD105557,19021.97,2026-08-21
ORD804983,43179.65,2026-08-28
ORD255339,12915.1,2026-08-26
ORD887458,18577.01,2026-08-21
ORD418015,39370.09,2026-08-23
ORD782918,38678.85,2026-08-22
ORD206381,3893.92,2026-08-27
ORD661835,18040.79,2026-08-16
ORD968377,35991.03,2026-08-19
ORD525425,23301.01,2026-08-19
ORD624825,37506.42,2026-08-20
ORD837565,49406.8,2026-08-21
ORD668492,29618.58,2026-08-14
ORD349655,39406.66,2026-08-22
ORD263107,9807.01,2026-08-25
ORD940107,3365.94,2026-08-21
ORD583177,4863.66,2026-08-25
ORD166482,31068.25,2026-08-24
ORD563453,597.11,2026-08-28
ORD764672,48549.33,2026-08-15
ORD456790,22663.92,2026-08-17
ORD877303,21942.59,2026-08-23
ORD732314,26055.03,2026-08-23
ORD202954,41820.27,2026-08-27
ORD663108,34723.68,2026-08-17
ORD772124,7818.57,2026-08-25
ORD604268,45707.43,2026-08-26
ORD947855,26221.01,2026-08-17
ORD301143,9966.02,2026-08-15
ORD315441,2825.85,2026-08-16
TXN318821,34920.30,2026-08-27
TXN436827,43234.19,2026-08-17
TXN167870,17471.74,2026-08-17
TXN504551,28250.65,2026-08-20
TXN791746,4539.45,2026-08-18
TXN979123,48551.72,2026-08-27
TXN236647,33861.22,2026-08-17
TXN827086,46624.50,2026-08-25
TXN935647,47687.86,2026-08-15
TXN326990,19341.79,2026-08-20
PAY922312,24232.82,2026-08-26
PAY308958,7020.53,2026-08-25
PAY261150,47618.78,2026-08-19
PAY457978,24820.73,2026-08-25
PAY143339,37444.41,2026-08-26
MIS787941,30494.05,2026-08-14
MIS937326,42961.07,2026-08-14
MIS643625,32762.53,2026-08-18
MIS911347,1931.04,2026-08-27
MIS514061,30663.78,2026-08-24
