txn_id,amount,date
B178398,23991.52,2026-08-17
B149108,10160.98,2026-08-17
B169262,17533.58,2026-08-21
B501470,28825.8,2026-08-23
B312093,28140.75,2026-08-14
B756418,33704.8,2026-08-17
B318057,1560.06,2026-08-27
B184178,29042.81,2026-08-18
B994736,14626.05,2026-08-18
B736596,21384.03,2026-08-27
B175093,10790.95,2026-08-16
B395262,48162.16,2026-08-28
B871526,31550.82,2026-08-26
B843381,3719.14,2026-08-14
B308512,3845.54,2026-08-27
B870000,36338.13,2026-08-18
B396377,13248.93,2026-08-24
B708305,42402.73,2026-08-20
B784772,21135.14,2026-08-19
B772713,24601.85,2026-08-20
B604072,21530.76,2026-08-24
B350134,26384.07,2026-08-22
B212423,32226.34,2026-08-17
B505759,26445.26,2026-08-18
B407504,46662.54,2026-08-26
