txn_id,amount,date
I0001,600.00,2026-08-11
I0002,2800.00,2026-08-12
I0003,5000.00,2026-08-13
I0004,7200.00,2026-08-14
I0005,9400.00,2026-08-17
I0006,11600.00,2026-08-18
I0007,13800.00,2026-08-19
I0008,16000.00,2026-08-20
I0009,18200.00,2026-08-21
I0010,20400.00,2026-08-24
I0011,22600.00,2026-08-25
I0012,24800.00,2026-08-26
I0013,27000.00,2026-08-27
I0014,29200.00,2026-08-28
I0015,31400.00,2026-08-11
I0016,1600.00,2026-08-12
I0017,3800.00,2026-08-13
I0018,6000.00,2026-08-14
I0019,8200.00,2026-08-17
I0020,10400.00,2026-08-18
I0021,12600.00,2026-08-19
I0022,14800.00,2026-08-20
I0023,17000.00,2026-08-21
I0024,19200.00,2026-08-24
I0025,21400.00,2026-08-25
