txn_id,amount,date
R102261,7634.81,2026-08-21
R301266,45445.35,2026-08-22
R594377,4567.95,2026-08-17
R304023,33445.75,2026-08-17
R116454,12187.39,2026-08-18
R357308,18477.74,2026-08-15
R191189,40484.42,2026-08-15
R924016,14048.81,2026-08-18
R148731,20232.77,2026-08-28
R132777,41447.54,2026-08-16
R193750,16942.34,2026-08-25
R759389,49553.92,2026-08-22
R765888,4859.03,2026-08-14
R187882,17918.88,2026-08-18
R245066,12632.24,2026-08-18
R130385,22716.16,2026-08-16
R495057,7809.57,2026-08-26
R524005,22336.88,2026-08-19
R168781,47616.54,2026-08-24
R510722,20773.92,2026-08-24
R111698,28542.54,2026-08-20
R508636,6700.33,2026-08-17
R155352,33835.93,2026-08-24
R703103,15826.66,2026-08-28
R657614,17102.24,2026-08-14
