txn_id,amount,date
TXN104606,65317.57,2026-08-15
TXN123142,26881.43,2026-08-23
TXN249292,37295.02,2026-08-23
TXN961467,66429.85,2026-08-17
TXN486795,78436.54,2026-08-17
TXN279377,59830.93,2026-08-14
TXN790461,48912.94,2026-08-17
TXN979772,36824.42,2026-08-20
TXN333864,22230.08,2026-08-15
TXN360238,20773.37,2026-08-14
TXN829322,21736.66,2026-08-15
TXN728476,71584.31,2026-08-19
TXN506202,54717.14,2026-08-24
TXN649144,57607.13,2026-08-27
TXN967518,17156.44,2026-08-22
TXN481533,77929.45,2026-08-27
TXN938527,62481.43,2026-08-28
TXN131152,71066.98,2026-08-19
TXN778452,24775.45,2026-08-19
TXN743341,79000.3,2026-08-14
TXN132244,43004.92,2026-08-17
TXN234418,12174.97,2026-08-21
TXN271651,76552.75,2026-08-18
TXN554920,16449.53,2026-08-23
TXN453831,12821.21,2026-08-16
TXN650278,15308.44,2026-08-23
TXN230534,86303.49,2026-08-24
TXN696701,95275.37,2026-08-16
TXN157221,27844.3,2026-08-23
TXN620783,21114.23,2026-08-19
TXN414840,5884.29,2026-08-16
TXN529766,11326.9,2026-08-25
TXN679832,91099.27,2026-08-22
TXN137612,82829.11,2026-08-17
TXN457797,35448.83,2026-08-14
TXN698665,41142.77,2026-08-28
TXN771061,59535.09,2026-08-17
TXN723212,42315.29,2026-08-17
TXN224605,99670.54,2026-08-22
TXN938341,75698.57,2026-08-22
TXN607088,73557.02,2026-08-18
TXN629098,2332.02,2026-08-21
TXN657911,90422.16,2026-08-23
TXN725244,18124.86,2026-08-21
TXN183833,38965.4,2026-08-23
TXN582910,99432.76,2026-08-22
TXN180195,38020.22,2026-08-23
TXN638615,70652.06,2026-08-22
TXN417086,85718.17,2026-08-17
TXN471753,72116.17,2026-08-27
TXN358826,42301.16,2026-08-26
TXN492916,81216.01,2026-08-26
TXN554031,13364.64,2026-08-23
TXN810166,89595.04,2026-08-21
TXN963366,31262.38,2026-08-24
TXN906138,75757.17,2026-08-20
TXN264131,70036.12,2026-08-27
TXN160490,32376.23,2026-08-15
TXN659888,46194.73,2026-08-27
TXN648163,54865.59,2026-08-23
TXN678810,65482.92,2026-08-27
TXN962175,59951.37,2026-08-18
TXN689449,18436.11,2026-08-26
TXN682789,53015.44,2026-08-19
TXN337547,77820.94,2026-08-23
TXN154676,36654.87,2026-08-27
TXN152656,2294.43,2026-08-16
TXN405381,462.23,2026-08-28
TXN854037,61851.44,2026-08-28
TXN308705,42579.94,2026-08-25
TXN516195,8444.39,2026-08-26
TXN306068,69549.43,2026-08-14
TXN290347,92817.31,2026-08-22
TXN672946,96946.51,2026-08-18
TXN509315,43063.42,2026-08-15
TXN772812,15025.87,2026-08-15
TXN460800,8181.59,2026-08-23
TXN779432,41986.37,2026-08-27
TXN127294,46078.9,2026-08-20
TXN742396,37555.32,2026-08-20
TXN453262,46578.5,2026-08-20
TXN990060,7924.1,2026-08-18
TXN439728,58786.74,2026-08-19
TXN324790,28069.17,2026-08-21
TXN850261,38588.97,2026-08-18
TXN749255,36707.98,2026-08-26
TXN541749,37769.34,2026-08-20
TXN477502,86651.21,2026-08-17
TXN680907,45515.74,2026-08-23
TXN213604,27694.28,2026-08-20
TXN558505,8221.61,2026-08-19
TXN401029,75104.41,2026-08-23
TXN607574,13919.2,2026-08-27
TXN712901,94290.14,2026-08-19
TXN629454,61054.91,2026-08-28
TXN344746,64653.3,2026-08-18
TXN550741,62874.48,2026-08-15
TXN413162,34838.81,2026-08-19
TXN220146,61077.22,2026-08-24
TXN701270,37764.08,2026-08-22
TXN457120,33781.57,2026-08-21
TXN116163,50114.12,2026-08-18
TXN853201,64947.37,2026-08-26
TXN663686,51889.53,2026-08-28
TXN579578,78855.44,2026-08-24
TXN876021,70519.37,2026-08-17
TXN796010,94091.91,2026-08-14
TXN655439,10828.62,2026-08-28
TXN577176,540.88,2026-08-16
TXN105398,97186.47,2026-08-23
TXN825343,41487.17,2026-08-27
TXN445054,3510.43,2026-08-25
TXN728053,31374.61,2026-08-22
TXN588081,6520.95,2026-08-17
TXN686292,94803.4,2026-08-24
TXN724515,33809.11,2026-08-16
TXN539163,42488.26,2026-08-18
TXN225541,48258.8,2026-08-16
TXN478286,94822.07,2026-08-27
TXN369486,23398.37,2026-08-24
TXN556912,61805.6,2026-08-17
TXN622583,71982.45,2026-08-19
TXN965565,41711.61,2026-08-23
TXN953014,69247.34,2026-08-17
TXN619384,21418.01,2026-08-21
TXN299812,28434.88,2026-08-14
TXN446350,92543.06,2026-08-20
TXN911499,48365.34,2026-08-15
TXN375331,10528.38,2026-08-20
TXN703771,78077.37,2026-08-25
TXN182703,45678.7,2026-08-15
TXN501742,28034.27,2026-08-23
TXN387216,95212.33,2026-08-21
TXN640381,99946.2,2026-08-28
TXN390534,92046.44,2026-08-27
TXN615133,9292.58,2026-08-22
TXN847571,68124.87,2026-08-19
TXN537925,78414.5,2026-08-21
TXN118046,93539.11,2026-08-14
TXN105833,10263,2026-08-26
TXN937927,3621.71,2026-08-21
TXN853635,87531.41,2026-08-18
TXN747617,30931.23,2026-08-28
TXN902009,53591.95,2026-08-19
TXN173380,42854.67,2026-08-28
TXN400075,87207.18,2026-08-25
TXN775117,28427.54,2026-08-25
TXN499363,94393.71,2026-08-26
TXN901602,76346.45,2026-08-22
TXN539663,79629.59,2026-08-27
TXN528369,73357.05,2026-08-23
TXN600599,60738.79,2026-08-25
TXN481732,65793.29,2026-08-15
TXN677087,75503.86,2026-08-26
TXN810358,26989.67,2026-08-27
TXN587825,65502.63,2026-08-17
TXN882776,79872.66,2026-08-26
TXN927952,27464.43,2026-08-25
TXN593787,31455.57,2026-08-17
TXN288765,35217.11,2026-08-14
TXN179658,84828.43,2026-08-22
TXN627759,43859.02,2026-08-28
TXN650320,33026.8,2026-08-22
TXN933147,54147.48,2026-08-26
TXN601631,83819.26,2026-08-25
TXN725021,77660.73,2026-08-24
TXN936377,54251.35,2026-08-18
TXN893579,69701.65,2026-08-23
TXN690718,11549.1,2026-08-16
TXN410252,72843.86,2026-08-18
TXN817569,40247.14,2026-08-18
TXN292631,81682.82,2026-08-19
TXN353398,6570.89,2026-08-23
TXN170067,50254.01,2026-08-26
TXN528014,90813.5,2026-08-21
TXN938552,35311.02,2026-08-26
TXN549564,60143.85,2026-08-24
TXN425374,38486.13,2026-08-14
TXN263955,93204.5,2026-08-25
TXN793867,39604.5,2026-08-16
TXN629911,68939.25,2026-08-19
TXN823879,11239.14,2026-08-14
TXN144783,16129.18,2026-08-24
TXN383552,24995.48,2026-08-19
TXN258868,64361.97,2026-08-18
TXN795198,89105.27,2026-08-15
TXN508067,33307.35,2026-08-25
TXN491421,16074.08,2026-08-20
TXN623924,88834.68,2026-08-22
TXN102099,71341.47,2026-08-22
TXN285006,59241.19,2026-08-26
TXN905628,35297.24,2026-08-21
TXN691754,44948.96,2026-08-18
TXN716688,35127.36,2026-08-28
TXN389503,44719.31,2026-08-24
TXN377394,6977.09,2026-08-28
TXN274881,49867.14,2026-08-25
TXN829998,12371.38,2026-08-21
TXN389826,4315.14,2026-08-16
TXN416881,53251.24,2026-08-15
