txn_id,amount,date
TXN104606,69485.28,2026-08-17
TXN123142,42655.85,2026-08-21
TXN249292,91858.57,2026-08-18
TXN961467,57499.21,2026-08-25
TXN486795,97299.07,2026-08-23
TXN279377,49632.48,2026-08-17
TXN790461,7814.18,2026-08-26
TXN979772,44605.97,2026-08-23
TXN333864,2728.1,2026-08-16
TXN360238,20536.93,2026-08-18
TXN829322,62262.47,2026-08-15
TXN728476,81093.62,2026-08-17
TXN506202,52802.48,2026-08-22
TXN649144,98527.17,2026-08-17
TXN967518,88241.61,2026-08-25
TXN481533,47641.98,2026-08-19
TXN938527,3873.21,2026-08-25
TXN131152,4329.6,2026-08-22
TXN778452,58474.77,2026-08-27
TXN743341,63690.47,2026-08-19
TXN132244,80374.05,2026-08-16
TXN234418,34128.33,2026-08-26
TXN271651,4600.63,2026-08-16
TXN554920,41700.37,2026-08-25
TXN453831,43401.25,2026-08-27
TXN650278,11618.07,2026-08-25
TXN230534,58030.86,2026-08-16
TXN696701,58361.06,2026-08-25
TXN157221,95725.56,2026-08-27
TXN620783,45916,2026-08-14
TXN414840,65943.5,2026-08-19
TXN529766,30659.12,2026-08-17
TXN679832,95062.41,2026-08-18
TXN137612,30184.91,2026-08-20
TXN457797,59928.63,2026-08-20
TXN698665,54165.63,2026-08-27
TXN771061,3770.61,2026-08-22
TXN723212,92295.05,2026-08-24
TXN224605,31316.69,2026-08-26
TXN938341,59611.12,2026-08-14
TXN607088,75213.95,2026-08-14
TXN629098,93824.67,2026-08-15
TXN657911,89671.55,2026-08-19
TXN725244,80230.14,2026-08-28
TXN183833,66718.5,2026-08-25
TXN582910,2831.83,2026-08-22
TXN180195,29837.97,2026-08-14
TXN638615,71663.86,2026-08-25
TXN417086,90302.85,2026-08-22
TXN471753,95527.56,2026-08-22
TXN358826,62136.77,2026-08-28
TXN492916,29103.94,2026-08-22
TXN554031,8969.29,2026-08-16
TXN810166,93003.15,2026-08-26
TXN963366,17394.59,2026-08-23
