txn_id,amount,date
TXN104606,59392.37,2026-08-17
TXN123142,59356.37,2026-08-16
TXN249292,73063.27,2026-08-17
TXN961467,47695.84,2026-08-20
TXN486795,64614.31,2026-08-25
TXN279377,17350.98,2026-08-18
TXN790461,78549.79,2026-08-17
TXN979772,49898.61,2026-08-14
TXN333864,67142.27,2026-08-15
TXN360238,8311.49,2026-08-21
TXN829322,46488.63,2026-08-19
TXN728476,1405.51,2026-08-23
TXN506202,57861.95,2026-08-25
TXN649144,66244.65,2026-08-14
TXN967518,50929.58,2026-08-21
TXN481533,28797.83,2026-08-15
TXN938527,74245.06,2026-08-14
TXN131152,52769.61,2026-08-14
TXN778452,95795.84,2026-08-24
TXN743341,48950.89,2026-08-22
TXN132244,50419,2026-08-22
TXN234418,76601.92,2026-08-22
TXN271651,81355.8,2026-08-19
TXN554920,42286.95,2026-08-20
TXN453831,33998.91,2026-08-15
TXN650278,38976.86,2026-08-22
TXN230534,77244.63,2026-08-24
TXN696701,74240.05,2026-08-16
TXN157221,35187.67,2026-08-15
TXN620783,24202.84,2026-08-14
TXN414840,63444.55,2026-08-28
TXN529766,83508.25,2026-08-20
TXN679832,65951.5,2026-08-25
TXN137612,85946.47,2026-08-23
TXN457797,1474.78,2026-08-18
TXN698665,71271.06,2026-08-24
TXN771061,96428.08,2026-08-14
TXN723212,67883.39,2026-08-25
TXN224605,7117.71,2026-08-23
TXN938341,28943.2,2026-08-21
TXN607088,85487.25,2026-08-20
TXN629098,45333.69,2026-08-14
TXN657911,61186.59,2026-08-15
TXN725244,24228.8,2026-08-19
TXN183833,6154.98,2026-08-24
TXN582910,74424.1,2026-08-16
TXN180195,11168.76,2026-08-16
TXN638615,77409.84,2026-08-21
TXN417086,49506.75,2026-08-15
TXN471753,18958.85,2026-08-25
TXN358826,34345.62,2026-08-20
TXN492916,86663.34,2026-08-17
TXN554031,91228.12,2026-08-17
TXN810166,46358.69,2026-08-21
TXN963366,69203.22,2026-08-26
TXN906138,72153.09,2026-08-15
TXN264131,25876.21,2026-08-22
TXN160490,60221.62,2026-08-25
TXN659888,55204.86,2026-08-25
TXN648163,40326.22,2026-08-22
TXN678810,87590.04,2026-08-16
TXN962175,30447.85,2026-08-24
TXN689449,50776.18,2026-08-24
TXN682789,22399.51,2026-08-23
TXN337547,82683.93,2026-08-25
TXN154676,28388.03,2026-08-15
TXN152656,3447.93,2026-08-17
TXN405381,23689.41,2026-08-23
TXN854037,65799.6,2026-08-16
TXN308705,81146.17,2026-08-14
TXN516195,34748.83,2026-08-17
TXN306068,11527.31,2026-08-21
TXN290347,38277.22,2026-08-27
TXN672946,29676.31,2026-08-27
TXN509315,30099.86,2026-08-15
TXN772812,21382.48,2026-08-21
TXN460800,79892.14,2026-08-15
TXN779432,17357.42,2026-08-19
TXN127294,24510.96,2026-08-26
TXN742396,27917.2,2026-08-27
TXN453262,32279.23,2026-08-25
TXN990060,33383.21,2026-08-21
TXN439728,17416.35,2026-08-18
TXN324790,36574.68,2026-08-20
TXN850261,36411.36,2026-08-28
TXN749255,89158.6,2026-08-14
TXN541749,38488.67,2026-08-20
TXN477502,13065.81,2026-08-19
TXN680907,91848.24,2026-08-22
TXN213604,90350.7,2026-08-23
TXN558505,46314.07,2026-08-28
TXN401029,80087.92,2026-08-14
TXN607574,95106.83,2026-08-25
TXN712901,18278.18,2026-08-17
TXN629454,65535.53,2026-08-25
TXN344746,7769.65,2026-08-18
TXN550741,42296.99,2026-08-16
TXN413162,45137.83,2026-08-15
TXN220146,72002.74,2026-08-25
TXN701270,88445.85,2026-08-16
TXN457120,29391.6,2026-08-28
TXN116163,2185.7,2026-08-27
TXN853201,28519.87,2026-08-18
TXN663686,62001.68,2026-08-17
TXN579578,71075.84,2026-08-26
TXN876021,11416.59,2026-08-27
TXN796010,70817.73,2026-08-20
TXN655439,32875.86,2026-08-16
TXN577176,19601.03,2026-08-26
TXN105398,34213.84,2026-08-17
TXN825343,9500.27,2026-08-21
TXN445054,98389.62,2026-08-15
TXN728053,517.88,2026-08-18
TXN588081,731.41,2026-08-17
TXN686292,94691.25,2026-08-26
TXN724515,48207.9,2026-08-22
TXN539163,58923.85,2026-08-20
TXN225541,72539.44,2026-08-15
TXN478286,95002.32,2026-08-16
TXN369486,91804.67,2026-08-17
TXN556912,81729.95,2026-08-18
TXN622583,28397.48,2026-08-24
TXN965565,27508.27,2026-08-15
TXN953014,57501.53,2026-08-15
TXN619384,76269.59,2026-08-23
TXN299812,37852.18,2026-08-19
TXN446350,57226.93,2026-08-28
TXN911499,42950.65,2026-08-15
