txn_id,amount,date
STR101563,4959.39,2026-08-15
STR281250,6321.91,2026-08-25
STR769943,35968.86,2026-08-27
STR838296,23685.31,2026-08-17
STR346894,33447.84,2026-08-28
STR648045,10392.81,2026-08-28
STR499514,33462.61,2026-08-28
STR737170,48343.56,2026-08-22
STR823421,11053.42,2026-08-17
STR551640,8365.14,2026-08-21
STR223715,45640.39,2026-08-25
STR379391,19031.97,2026-08-17
STR526876,32717.78,2026-08-15
STR707507,47154.21,2026-08-25
STR881634,18093.8,2026-08-24
STR634098,703.52,2026-08-15
STR995646,23489.92,2026-08-27
STR738097,15039.71,2026-08-25
STR206447,24457.47,2026-08-20
STR855079,48617.08,2026-08-20
STR713697,1231.48,2026-08-19
STR517187,48952.53,2026-08-19
STR777533,43734.67,2026-08-24
STR601211,6939.91,2026-08-22
STR864144,636.31,2026-08-18
STR980369,1533.08,2026-08-25
STR474585,21673.41,2026-08-15
STR253008,15314.87,2026-08-16
STR416671,34280.07,2026-08-21
STR697880,17432.23,2026-08-15
STR101563,6630.77,2026-08-23
STR281250,23396.02,2026-08-14
STR769943,38917.52,2026-08-15
STR838296,9347.37,2026-08-28
STR346894,43070.17,2026-08-15
STR648045,29920.83,2026-08-20
STR499514,29492.07,2026-08-26
STR737170,33438.5,2026-08-25
STR823421,43540.53,2026-08-25
STR551640,26630.15,2026-08-15
