txn_id,amount,date
STR101563,31201.73,2026-08-18
STR281250,14726.79,2026-08-21
STR769943,39964.57,2026-08-23
STR838296,10576.91,2026-08-21
STR346894,26800.89,2026-08-15
STR648045,47711.25,2026-08-27
STR499514,7741.9,2026-08-27
STR737170,49102.39,2026-08-17
STR823421,15771.47,2026-08-17
STR551640,48135.44,2026-08-27
STR223715,2039.16,2026-08-22
STR379391,34584.83,2026-08-14
STR526876,48839.22,2026-08-27
STR707507,38115.67,2026-08-26
STR881634,33216,2026-08-17
STR634098,35095.95,2026-08-22
STR995646,42953.53,2026-08-21
STR738097,19297.88,2026-08-22
STR206447,11625.25,2026-08-20
STR855079,15407.12,2026-08-21
STR713697,11684.65,2026-08-22
STR517187,37947.95,2026-08-27
STR777533,48867.98,2026-08-23
STR601211,42480.95,2026-08-14
STR864144,5083.48,2026-08-17
STR980369,34848.76,2026-08-23
STR474585,39706.75,2026-08-15
STR253008,3721.92,2026-08-28
STR416671,40292.91,2026-08-15
STR697880,48435.6,2026-08-26
STR101563,7038.92,2026-08-16
STR281250,34365.31,2026-08-21
STR769943,42942.52,2026-08-25
STR838296,25929.12,2026-08-15
STR346894,28622.8,2026-08-24
STR648045,19328.59,2026-08-28
STR499514,49496.8,2026-08-16
STR737170,30649.33,2026-08-25
STR823421,24021.58,2026-08-20
STR551640,49777.1,2026-08-18
