txn_id,amount,date
STR0001,1000.00,2026-08-11
STR0002,2500.00,2026-08-12
STR0003,4000.00,2026-08-13
STR0004,5500.00,2026-08-14
STR0005,7000.00,2026-08-17
STR0006,8500.00,2026-08-18
STR0007,10000.00,2026-08-19
STR0008,11500.00,2026-08-20
STR0009,13000.00,2026-08-21
STR0010,14500.00,2026-08-24
STR0011,16000.00,2026-08-25
STR0012,17500.00,2026-08-26
STR0013,19000.00,2026-08-27
STR0014,20500.00,2026-08-28
STR0015,22000.00,2026-08-11
STR0016,23500.00,2026-08-12
STR0017,0.00,2026-08-13
STR0018,1500.00,2026-08-14
STR0019,3000.00,2026-08-17
STR0020,4500.00,2026-08-18
STR0021,6000.00,2026-08-19
STR0022,7500.00,2026-08-20
STR0023,9000.00,2026-08-21
STR0024,10500.00,2026-08-24
STR0025,12000.00,2026-08-25
STR0026,13500.00,2026-08-26
STR0027,15000.00,2026-08-27
STR0028,16500.00,2026-08-28
STR0029,18000.00,2026-08-11
STR0030,19500.00,2026-08-12
STR0001,1500.00,2026-08-18
STR0002,3000.00,2026-08-19
STR0003,4500.00,2026-08-20
STR0004,6000.00,2026-08-21
STR0005,7500.00,2026-08-24
STR0006,9000.00,2026-08-25
STR0007,10500.00,2026-08-26
STR0008,12000.00,2026-08-27
STR0009,13500.00,2026-08-28
STR0010,15000.00,2026-08-11
